latitude,rating,url,name,longitude
25.613718,5,https://www.tripadvisor.in/Restaurant_Review-g297592-d8673416-Reviews-The_Dining_Room-Patna_Bihar.html,The Dining Room,85.05306
25.616804,4.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d7799009-Reviews-Thanco_Natural_Icecream-Patna_Bihar.html,Thanco Natural Icecream,85.11331
25.60656,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4603466-Reviews-Biryani_Mahal-Patna_Bihar.html,Biryani Mahal,85.13363
25.61811,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4216746-Reviews-KFC-Patna_Bihar.html,KFC,85.12188
,5,https://www.tripadvisor.in/Restaurant_Review-g297592-d8393182-Reviews-Amrapali_Cafe-Patna_Bihar.html,,
25.61928,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d2307862-Reviews-Roti-Patna_Bihar.html,Roti,85.1101
25.610544,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4740917-Reviews-The_Yellow_Chilli-Patna_Bihar.html,The Yellow Chilli,85.135925
25.6305,5,https://www.tripadvisor.in/Restaurant_Review-g297592-d5997999-Reviews-The_Darpan_Restaurant-Patna_Bihar.html,The Darpan Restaurant,85.1154
25.60723,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d2452072-Reviews-Takshila-Patna_Bihar.html,takshila,85.12895
25.609968,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d5071368-Reviews-Domino_s_Pizza-Patna_Bihar.html,Domino's Pizza,85.14073
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d7687959-Reviews-Pizza_Hut-Patna_Bihar.html,,
25.60561,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4332596-Reviews-Haldiram-Patna_Bihar.html,Haldiram,85.07952
25.61485,3.5,https://www.tripadvisor.in/Restaurant_Review-g297592-d1906377-Reviews-Pind_Balluchi-Patna_Bihar.html,Pind Balluchi,85.14666
25.61193,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d4603455-Reviews-Biryani_House-Patna_Bihar.html,Biryani House,85.14325
25.60736,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d8019642-Reviews-Basant_Vihar-Patna_Bihar.html,Basant Vihar,85.13767
,4,https://www.tripadvisor.in/Restaurant_Review-g297592-d3977153-Reviews-Kapil_Dev_s_Elevens-Patna_Bihar.html,,
